No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
33,Kemenkeu,Laporan APBN,"Efisiensi perjalanan dinas Kemendikbud 2022 hemat Rp3,3 T.",0,
34,Facebook,Info Loker,Kemendikbud butuh tenaga relawan pengajar tanpa gaji.,1,
35,Detik Finance,@detikcom,Investasi dana abadi pendidikan LPDP tembus Rp150 Triliun.,0,
36,TikTok,@mhs_update,UKT naik 300% karena dana dialihkan ke kereta cepat.,1,
37,Humas PTN,@univ_indonesia,UI terapkan efisiensi energi untuk tekan biaya operasional.,0,
38,WhatsApp,Grup Guru,Pencairan TPG harus bayar administrasi Rp200rb ke dinas.,1,
39,Kompasiana,Opini,Efisiensi Kurikulum Merdeka kurangi beban cetak soal kertas.,0,
40,Instagram,@scholarship_id,Beasiswa Fulbright dihentikan karena penghematan anggaran.,1,
41,Biro Pusat Statistik,Laporan 2023,Penurunan biaya operasional sekolah per siswa di daerah 3T.,0,
42,X (Twitter),@lapor_mas,Dana BOS hangus jika tidak lapor pajak bulan ini.,1,
43,Kemendiktisaintek,@kemendikti,Fokus riset 2026: Efisiensi energi dan ketahanan pangan.,0,
44,Facebook,Berita Guru,Sertifikasi guru 2025 hanya untuk yang lulusan S2.,1,
45,Antara News,@antaranews,Kemendikdasmen kaji ulang efisiensi dana tunjangan daerah.,0,
46,WhatsApp,Grup Guru,Link pendaftaran bantuan laptop gratis dari Mendikbud Nadiem Makarim Januari 2020.,1,
47,Facebook,Info Pendidikan,Dana Sertifikasi Guru 2020 dialihkan untuk pembangunan Ibu Kota Baru (IKN).,1,
48,TikTok,@edukasiviral,Kabar Gembira: Nadiem Makarim hapus semua biaya UKT mahasiswa se-Indonesia.,1,
49,Instagram,@beasiswahunter,Pendaftaran Beasiswa LPDP 2020 ditutup total karena penghematan anggaran.,1,
50,WhatsApp,Broadcast,Pencairan Tunjangan Profesi Guru (TPG) Januari harus klik link daftar-tpg.xyz.,1,
51,X (Twitter),@anon_indo,Dana bantuan sekolah (BOS) Januari macet karena dialihkan bayar utang negara.,1,
52,Kompas.com,@kompascom,Nadiem pangkas jabatan Eselon III dan IV di Kemendikbud demi struktur ramping.,0,
53,Antara News,@antaranews,Skema Dana BOS 2020: Porsi untuk gaji honorer naik maksimal jadi 50%.,0,
54,Detik Edu,@detikcom,Efisiensi UN: Kemendikbud pastikan UN 2020 adalah yang terakhir dilaksanakan.,0,
55,Tempo,@tempodotco,Kemendikbud sederhanakan RPP menjadi 1 halaman untuk efisiensi kerja guru.,0,
56,Liputan6,@liputan6dotcom,"Mendikbud hapus USBN, berikan kewenangan ujian penuh ke pihak sekolah.",0,
57,CNN Indonesia,@CNNIndonesia,Efisiensi Administrasi: Kemendikbud uji coba sistem ijazah digital nasional.,0,
58,Tirto.id,@tirtoid,Kebijakan Kampus Merdeka: Otonomi pembukaan prodi baru untuk efisiensi PTN/PTS.,0,
59,Republika,@republikaonline,Pemerintah naikkan unit cost Dana BOS per siswa untuk tingkatkan mutu sekolah.,0,
60,LLDikti,@lldikti_wil3,Penyatuan (Merger) perguruan tinggi swasta kecil untuk efisiensi operasional.,0,
61,Kemenkeu,Nota Keuangan,Anggaran fungsi pendidikan Januari 2020 tetap diprioritaskan 20% APBN.,0,
62,Facebook,Kabar Guru,Syarat sertifikasi guru tahun 2020 wajib lulusan minimal Strata-2 (S2).,1,
63,YouTube,Berita News,Video: Nadiem Makarim resmi hapus tunjangan bagi guru yang belum sertifikasi.,1,
64,Kompas,@hariankompas,Digitalisasi pengadaan barang sekolah via SIPLah untuk cegah inefisiensi harga.,0,
65,Setkab RI,@setkabgoid,Perpres No. 5/2020 tentang penyederhanaan organisasi di lingkungan Kemendikbud.,0,
66,CNBC Indonesia,@cnbcindonesia,Kemendikbud pangkas anggaran perjalanan dinas sebesar Rp800 Miliar tahun ini.,0,
67,WhatsApp,Grup Sekolah,"Subsidi pulsa internet 50GB dari Kemdikbud cair Januari, klik link ini.",1,
68,Instagram,@infokampus,KIP Kuliah 2020 hanya diberikan kepada mahasiswa di wilayah Pulau Jawa.,1,
69,TikTok,@politikupdate,Dana abadi pendidikan dikuras habis untuk membiayai proyek kereta cepat.,1,
70,Facebook,Forum Honorer,Nadiem Makarim resmi hapus status guru honorer mulai akhir Januari 2020.,1,
71,Tempo,@tempodotco,Audit BPK temukan inefisiensi pada program buku kurikulum lama.,0,
72,Kemendikbud,Rilis Pers,Program Organisasi Penggerak diluncurkan untuk efisiensi pelatihan guru.,0,
73,WhatsApp,Pesan Berantai,Bantuan renovasi perpustakaan sekolah Rp50 juta cair lewat link bit.ly.,1,
74,X (Twitter),@guru_cerdas,Tunjangan khusus daerah terpencil dihapus per Januari 2020 karena efisiensi.,1,
75,Kemendikbud,Rilis Pers,Program Organisasi Penggerak diluncurkan untuk efisiensi pelatihan guru.,0,
76,Instagram,@beasiswagratis,Pendaftaran Beasiswa Unggulan Januari 2020 via situs pendaftaran-online.tk.,1,
77,WhatsApp,Grup Kelas,"Subsidi biaya buku semester genap Rp500rb per siswa, daftar di link ini.",1,
78,Facebook,Info Loker,Kemendikbud rekrut relawan pengajar tanpa gaji untuk daerah 3T.,1,
79,TikTok,@mhs_update,UKT naik drastis karena subsidi dialihkan ke pembangunan infrastruktur.,1,
80,WhatsApp,Grup Guru,Sertifikasi guru triwulan 1 cair lebih cepat jika bayar admin Rp100rb.,1,
81,Kemenkeu,Laporan APBN,"Realisasi anggaran pendidikan Januari 2020 capai Rp12,4 Triliun.",0,
82,Detik Finance,@detikcom,Investasi dana abadi pendidikan LPDP capai target efisiensi laba.,0,
83,Humas PTN,@univ_indonesia,UI lakukan efisiensi belanja rutin untuk dialihkan ke riset mahasiswa.,0,
84,Kompasiana,Opini,Kebijakan RPP satu lembar: Langkah berani Nadiem lakukan efisiensi waktu guru.,0,
85,BPS,Laporan 2020,Statistik menunjukkan penurunan biaya admin sekolah berkat transfer langsung BOS.,0,
86,Instagram,@scholarship_id,Beasiswa Fulbright dihentikan sementara karena penghematan dana bilateral.,1,
87,X (Twitter),@lapor_mas,Dana BOS hangus jika kepala sekolah tidak lapor penggunaan via aplikasi Januari.,1,
88,Facebook,Berita Guru,Guru yang tidak lulus sertifikasi Januari 2020 wajib mengembalikan gaji.,1,
89,WhatsApp,Grup WA,Link survei pendidikan Januari berhadiah saldo OVO Rp100rb dari Kemdikbud.,1,
90,TikTok,@infosekolah,Daftar sekolah yang akan ditutup Januari 2020 karena kekurangan dana.,1,
91,X (Twitter),@edunews,Pemerintah batalkan bantuan KIP Kuliah untuk mahasiswa prodi Sastra.,1,
92,Kemendikbud,@kemdikbud,"Nadiem: Tidak ada lagi UN mulai 2021, anggaran dialihkan ke Asesmen Nasional.",0,
93,Antara News,@antaranews,Kemendikbud kaji efisiensi dana tunjangan profesi bagi guru PNS.,0,
94,Liputan6,@liputan6dotcom,Transformasi SMK: Fokus pada efisiensi link and match dengan industri.,0,
95,Tirto.id,@tirtoid,Analisis: Skema transfer BOS langsung pangkas rantai birokrasi di daerah.,0,
96,CNN Indonesia,@CNNIndonesia,Nadiem: Penggunaan Dana BOS lebih fleksibel untuk beli alat penunjang sekolah.,0,
97,WhatsApp,Grup Guru,Perintah pengisian formulir data pribadi untuk penerimaan HP Android gratis dari Kemdikbud.,1,
98,Kompas.com,@kompascom,"Kemendikbud alokasikan Rp3,9 Triliun untuk peningkatan kompetensi guru di 2020.",0,
99,Facebook,Info Viral,Kemendikbud resmi hapus dana bantuan untuk sekolah swasta mulai semester ini.,1,
100,Antara News,@antaranews,Kemendikbud dorong efisiensi anggaran lewat penggabungan (merger) beberapa lembaga riset.,0,
101,Kemendikbud,@Kemdikbud_RI,Kebijakan Kampus Merdeka: Efisiensi syarat akreditasi bagi perguruan tinggi.,0,
102,WhatsApp,Grup Kampus,Link survei mahasiswa berhadiah uang saku Rp200rb dari Kemendikbud.,1,
103,CNBC Indonesia,@cnbcindonesia,Kemenkeu setujui skema BOS langsung untuk pangkas biaya transaksi daerah.,0,
104,Facebook,Forum Guru,"Mulai Januari, tunjangan fungsional guru akan dihapus diganti bonus kinerja.",1,
105,Liputan6,@liputan6dotcom,Mendikbud: Anggaran UN 2020 tetap ada namun menjadi yang terakhir kalinya.,0,
106,TikTok,@edukasioke,Cara dapat dana hibah penelitian dosen tanpa seleksi lewat link hibah-2020.com.,1,
107,Tempo.co,@tempodotco,Kemendikbud integrasikan pangkalan data (Dapodik) untuk efisiensi bansos siswa.,0,
108,Instagram,@info_beasiswa,LPDP 2020 hanya untuk jurusan teknik demi efisiensi kebutuhan industri.,1,
109,Republika,@republikaonline,Pemerintah fokuskan dana pendidikan untuk penguatan pendidikan vokasi (SMK).,0,
110,X (Twitter),@loker_guru,"Lowongan guru tetap tanpa tes di Kemendikbud Januari 2020, bayar biaya admin.",1,
111,Antara News,@antaranews,Nadiem Makarim sebut efisiensi birokrasi kampus tingkatkan inovasi dosen.,0,
112,WhatsApp,Grup Guru,Informasi pemangkasan dana pensiun guru mulai Januari 2020.,1,
113,Kompas.com,@kompascom,Kemendikbud hapus aturan kewajiban publikasi jurnal bagi mahasiswa S1.,0,
114,Facebook,Kabar Sekolah,Dana BOS tahun 2020 dilarang digunakan untuk memperbaiki bangunan fisik.,1,
115,Detik Edu,@detikcom,Program Merdeka Belajar: Efisiensi administratif RPP bikin guru lebih produktif.,0,
116,TikTok,@beritapolitik,Nadiem Makarim gunakan dana pendidikan untuk investasi perusahaan teknologi.,1,
117,Tirto.id,@tirtoid,Analisis: Skema baru Dana BOS kurangi risiko pengendapan dana di Kas Daerah.,0,
118,Instagram,@mhs_hits,Link pembagian laptop gratis Januari bagi mahasiswa yang sudah punya KIP.,1,
119,CNN Indonesia,@CNNIndonesia,Kemendikbud rencanakan penggabungan direktorat jenderal demi efisiensi anggaran.,0,
120,WhatsApp,Broadcast,Batas akhir aktivasi kartu bantuan guru honorer via link bantuan-guru.tk.,1,
121,Liputan6,@liputan6dotcom,Nadiem: Guru tak perlu lagi habiskan waktu berjam-jam bikin administrasi.,0,
122,Facebook,Netizen Peduli,Dana KIP Kuliah 2020 resmi dipotong 30% untuk beli seragam dinas baru.,1,
123,Antara News,@antaranews,Kemendikbud gandeng swasta untuk program magang mahasiswa guna hemat biaya.,0,
124,X (Twitter),@info_pns,Gaji ke-13 dan ke-14 guru PNS akan digabung untuk efisiensi perpajakan.,1,
125,CNBC Indonesia,@cnbcindonesia,Nota Keuangan 2020: Dana BOS naik namun pengawasan diperketat.,0,
126,WhatsApp,Grup Sekolah,Undangan rapat koordinasi Kemendikbud berbayar untuk Kepala Sekolah.,1,
127,Tempo.co,@tempodotco,Nadiem: Kebebasan prodi buka jalur mandiri adalah langkah efisiensi finansial.,0,
128,TikTok,@infoviral,Mendikbud perintahkan sekolah jual buku bekas untuk tambah dana operasional.,1,
129,Kompas.com,@kompascom,Kemendikbud pangkas anggaran seremonial dan dialihkan ke sarana sekolah 3T.,0,
130,Instagram,@mahasiswainfo,Beasiswa Bidikmisi dihapus total Januari 2020 dan tidak ada penggantinya.,1,
131,Detik Finance,@detikcom,Efisiensi sistem pengadaan sekolah: Kemendikbud luncurkan fitur baru SIPLah.,0,
132,Facebook,Forum Dosen,Dana sertifikasi dosen tidak akan cair bagi yang tidak punya akun Gojek.,1,
133,CNN Indonesia,@CNNIndonesia,"Anggaran fungsi pendidikan 2020 sebesar Rp508,1 T dikelola lintas kementerian.",0,
134,WhatsApp,Grup WA,Pendaftaran bantuan sosial pendidikan 2020 via link sosial-pendidikan.xyz.,1,
135,Republika,@republikaonline,Nadiem: Kampus Merdeka kurangi beban regulasi yang menghambat inovasi.,0,
136,X (Twitter),@politik_id,Mendikbud tarik dana sekolah untuk bayar bunga utang negara.,1,
137,Antara News,@antaranews,Kemendikbud jamin dana BOS tetap cair meski ada perubahan skema transfer.,0,
138,TikTok,@edukasi_news,Kabar buruk: Guru yang belum S1 per Januari 2020 dilarang mengajar.,1,
139,Liputan6,@liputan6dotcom,Kemendikbud targetkan 81 ribu mahasiswa dapat KIP Kuliah pada tahun 2020.,0,
140,Facebook,Info Guru,Pemerintah resmi batalkan kenaikan gaji guru honorer di awal Januari.,1,
141,Tempo.co,@tempodotco,Nadiem Makarim: Kita harus pindah dari budaya administratif ke budaya inovatif.,0,
142,WhatsApp,Grup Sekolah,Scan wajah lewat link ini untuk klaim subsidi pendidikan Januari 2020.,1,
143,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Penyaluran Dana BOS langsung ke sekolah tingkatkan efisiensi 30%.,0,
144,Instagram,@scholarship_id,Dana beasiswa S2 luar negeri dialihkan untuk perbaikan SD rusak.,1,
145,Kemendikbud,Rilis Pers,Efisiensi struktur: Pelantikan pejabat fungsional baru di Kemendikbud.,0,
146,Kemendikbud,@Kemdikbud_RI,Kebijakan Kampus Merdeka resmi diluncurkan untuk efisiensi birokrasi PTN.,0,
147,WhatsApp,Grup Kampus,Link bantuan dana darurat mahasiswa Rp500rb akibat ancaman virus Corona.,1,
148,Kompas.com,@kompascom,Kemendikbud pangkas syarat akreditasi prodi untuk hemat biaya operasional kampus.,0,
149,Facebook,Netizen,Dana BOS Februari 2020 dipotong 20% untuk subsidi masker nasional.,1,
150,Antara News,@antaranews,Nadiem: Mahasiswa boleh ambil 3 semester di luar prodi guna efisiensi SDM.,0,
151,TikTok,@edukasiviral,Kabar Gembira: Nadiem Makarim hapus skripsi bagi seluruh mahasiswa angkatan 2020.,1,
152,Detik Edu,@detikcom,Penyaluran Dana BOS Tahap I 2020 cair langsung ke 136 ribu sekolah.,0,
153,Instagram,@beasiswahunter,Dana beasiswa LPDP ditransfer ke dana kesehatan untuk antisipasi pandemi.,1,
154,Tempo.co,@tempodotco,Efisiensi Administrasi: Kemendikbud permudah izin pembukaan prodi baru.,0,
155,WhatsApp,Broadcast,Link aktivasi paket internet gratis 30GB dari Kemendikbud bulan Februari.,1,
156,Liputan6,@liputan6dotcom,Mendikbud: PTN-BH diberikan otonomi lebih luas untuk cari dana mandiri.,0,
157,X (Twitter),@anon_indo,Gaji guru honorer Februari ditiadakan karena dialihkan untuk renovasi Monas.,1,
158,CNN Indonesia,@CNNIndonesia,Efisiensi Anggaran: UN 2020 tetap digelar dengan pengawasan super ketat.,0,
159,Facebook,Kabar Guru,Sertifikasi guru triwulan 1 2020 dibatalkan secara sepihak oleh pusat.,1,
160,Tirto.id,@tirtoid,"Nadiem Makarim pangkas anggaran rapat hotel, dialihkan ke dana digitalisasi.",0,
161,YouTube,Berita News,Video: Nadiem resmi gantikan seragam sekolah dengan baju bebas demi hemat.,1,
162,Republika,@republikaonline,Kemendikbud targetkan 400 ribu mahasiswa dapat KIP Kuliah di tahun 2020.,0,
163,WhatsApp,Grup Sekolah,"Subsidi biaya wisuda mahasiswa Rp1 juta dari Kemendikbud, klik link ini.",1,
164,LLDikti,@lldikti_wil3,Penertiban PTS yang tidak aktif sebagai langkah efisiensi mutu pendidikan tinggi.,0,
165,Instagram,@infokampus,Mahasiswa yang sering demo akan dicabut hak KIP Kuliahnya mulai Februari.,1,
166,Kemenkeu,Nota Keuangan,Realisasi dana BOS Februari 2020 pangkas jalur birokrasi hingga 50%.,0,
167,TikTok,@politikupdate,Dana riset dosen dipakai untuk membiayai influencer pendukung pemerintah.,1,
168,Kompas,@hariankompas,Digitalisasi ijazah di perguruan tinggi hemat biaya cetak miliaran rupiah.,0,
169,Facebook,Forum Honorer,Anggaran pengangkatan PPPK guru 2020 resmi dihapus per Februari.,1,
170,Setkab RI,@setkabgoid,Presiden minta Kemendikbud fokus pada efisiensi anggaran belanja barang.,0,
171,WhatsApp,Pesan Berantai,"Bantuan alat kebersihan sekolah Rp5 juta dari kementerian, daftar di bit.ly.",1,
172,CNBC Indonesia,@cnbcindonesia,Kemendikbud refocusing anggaran perjalanan dinas luar negeri hingga 70%.,0,
173,X (Twitter),@guru_cerdas,Guru dilarang terima tunjangan jika tidak instal aplikasi Gojek di HP.,1,
174,Tempo.co,@tempodotco,Mendikbud dorong kolaborasi kampus dan industri untuk hemat biaya praktik.,0,
175,Instagram,@beasiswagratis,Pendaftaran Beasiswa Unggulan Februari via situs kemdikbud-bantuan.site.,1,
176,Kemendikbud,Rilis Pers,Efisiensi Organisasi: Pengukuhan pejabat fungsional baru di lingkungan dikti.,0,
177,WhatsApp,Grup Kelas,Subsidi buku semester 2 Rp300rb cair jika mengisi formulir link ini.,1,
178,Kemenkeu,Laporan APBN,Alokasi Dana Alokasi Khusus (DAK) Fisik Pendidikan 2020 disesuaikan.,0,
179,Facebook,Info Loker,"Kemendikbud rekrut admin sosialisasi Kampus Merdeka, gaji Rp10 juta tanpa tes.",1,
180,Detik Finance,@detikcom,"Investasi dana abadi pendidikan meningkat, hasil dialihkan ke beasiswa S3.",0,
181,TikTok,@mhs_update,Demo mahasiswa: Tolak pengalihan dana UKT untuk pembangunan sirkuit.,1,
182,Humas PTN,@univ_indonesia,UI terapkan sistem paperless untuk efisiensi biaya administrasi kampus.,0,
183,WhatsApp,Grup Guru,Potongan wajib Rp50rb dari dana BOS untuk biaya administrasi bank.,1,
184,Kompasiana,Opini,Kebijakan Merdeka Belajar: Upaya Nadiem memangkas inefisiensi kurikulum.,0,
185,Instagram,@scholarship_id,Dana beasiswa luar negeri dipangkas 50% karena ancaman resesi global.,1,
186,BPS,Laporan 2020,Tren inflasi biaya pendidikan terkendali di awal tahun 2020.,0,
187,X (Twitter),@lapor_mas,Link verifikasi nomor HP guru untuk dapat bonus pulsa Februari dari pusat.,1,
188,Kemendikbud,@kemdikbud,Nadiem: Kampus Merdeka berikan kebebasan mahasiswa untuk magang berbayar.,0,
189,Facebook,Berita Guru,Sekolah yang tidak lapor dana BOS Februari dilarang terima siswa baru.,1,
190,Antara News,@antaranews,Kemendikbud kaji efisiensi dana tunjangan bagi guru di wilayah perkotaan.,0,
191,WhatsApp,Grup WA,"Undian berhadiah laptop dari program ""Nadiem Pintar"", klik untuk klaim.",1,
192,Liputan6,@liputan6dotcom,Transformasi Pendidikan: Nadiem ajak swasta ikut biayai riset perguruan tinggi.,0,
193,TikTok,@infosekolah,Video: Penutupan massal sekolah swasta karena dana BOS dialihkan.,1,
194,Tirto.id,@tirtoid,"Analisis: Skema transfer BOS langsung persempit ruang ""fee"" di birokrasi.",0,
195,X (Twitter),@edunews,Pemerintah batalkan bantuan KIP Kuliah bagi mahasiswa perokok.,1,
196,Kemendikbud,@Kemdikbud_RI,Nadiem: Kebijakan Kampus Merdeka pangkas biaya administrasi akreditasi kampus.,0,
197,WhatsApp,Grup Guru,"Link pendaftaran bantuan kesejahteraan guru honorer Rp1,5 juta bulan Februari.",1,
198,Kompas.com,@kompascom,"Penyaluran Dana BOS 2020 dipercepat, 40% cair pada Tahap I untuk operasional.",0,
199,Facebook,Info Guru,Pemerintah resmi batalkan kenaikan tunjangan guru tahun 2020 karena krisis.,1,
200,Antara News,@antaranews,Kemendikbud alokasikan dana Rp1 Triliun untuk revitalisasi SMK berbasis industri.,0,
201,TikTok,@edukasiviral,Kabar Gembira: Nadiem Makarim gratiskan kuota internet untuk seluruh pelajar.,1,
202,Detik Edu,@detikcom,Mendikbud: Otonomi pembukaan prodi baru hemat waktu dan anggaran birokrasi.,0,
203,Instagram,@beasiswahunter,Beasiswa LPDP 2020 dialihkan untuk pendanaan vaksin Corona luar negeri.,1,
204,Tempo.co,@tempodotco,Kemendikbud dorong efisiensi dengan digitalisasi data ijazah mahasiswa.,0,
205,WhatsApp,Broadcast,Login di link-bantuan.xyz untuk klaim subsidi pendidikan Februari 2020.,1,
206,Liputan6,@liputan6dotcom,Perubahan Juknis BOS: Sekolah kini boleh beli alat multimedia dari dana BOS.,0,
207,X (Twitter),@anon_indo,Dana bantuan sekolah (BOS) ditahan pusat untuk biaya operasional bandara baru.,1,
208,CNN Indonesia,@CNNIndonesia,Efisiensi Anggaran: Nadiem Makarim hapus program seremonial di kementerian.,0,
209,Facebook,Kabar Guru,Guru honorer wajib bayar Rp500 ribu untuk verifikasi data pencairan gaji.,1,
210,Tirto.id,@tirtoid,Analisis: Skema Kampus Merdeka kurangi beban biaya penelitian lewat mitra swasta.,0,
211,YouTube,Berita News,Video: Nadiem Makarim minta rektorat potong gaji dosen untuk efisiensi.,1,
212,Republika,@republikaonline,Pemerintah tingkatkan kuota KIP Kuliah menjadi 818 ribu mahasiswa di 2020.,0,
213,WhatsApp,Grup Sekolah,Subsidi pulsa gratis dari Kemdikbud khusus pengguna kartu Telkomsel/Indosat.,1,
214,LLDikti,@lldikti_wil3,Penertiban PTS bermasalah di Jakarta dilakukan demi efisiensi mutu dikti.,0,
215,Instagram,@infokampus,"Mulai Februari, mahasiswa yang IPK di bawah 3.0 wajib bayar UKT penuh.",1,
216,Kemenkeu,Nota Keuangan,Penghematan belanja barang Kemendikbud dialihkan ke dana bantuan siswa.,0,
217,TikTok,@politikupdate,Dana abadi pendidikan raib digunakan untuk membayar bunga utang proyek tol.,1,
218,Kompas,@hariankompas,Digitalisasi pengadaan barang sekolah (SIPLah) pangkas potensi mark-up anggaran.,0,
219,Facebook,Forum Honorer,Kemendikbud batalkan rekrutmen PPPK 2020 karena anggaran tidak cukup.,1,
220,Setkab RI,@setkabgoid,Inpres No. 1/2020: Optimalisasi penggunaan dana fungsi pendidikan.,0,
221,WhatsApp,Pesan Berantai,"Bantuan dana renovasi laboratorium sekolah dari pusat, hubungi nomor WA ini.",1,
222,CNBC Indonesia,@cnbcindonesia,Kemendikbud hemat Rp600 Miliar dari pembatalan rapat hotel di awal tahun.,0,
223,X (Twitter),@guru_cerdas,Kemendikbud hapus sistem zonasi secara diam-diam per 14 Februari 2020.,1,
224,Tempo.co,@tempodotco,Nadiem: Fokus anggaran pendidikan adalah pada 'Outcomes' bukan 'Spending'.,0,
225,Instagram,@beasiswagratis,Pendaftaran Beasiswa Unggulan dibuka kembali lewat situs beasiswa-go.id.org.,1,
226,Kemendikbud,Rilis Pers,Efisiensi Organisasi: Pengangkatan 300 pejabat fungsional di Kemendikbud.,0,
227,WhatsApp,Grup Kelas,"Subsidi biaya SPP sekolah Rp200rb/bulan, cairkan di link subsidi-sekolah.tk.",1,
228,Kemenkeu,Laporan APBN,"Realisasi anggaran fungsi pendidikan Februari capai Rp24,7 Triliun.",0,
229,Facebook,Info Loker,Kemendikbud butuh 50.000 relawan PJJ dengan gaji Rp5 juta/bulan.,1,
230,Detik Finance,@detikcom,Penyaluran Dana BOS Tahap I capai 100% untuk daerah terpencil.,0,
231,TikTok,@mhs_update,UI dan ITB resmi naikkan UKT 50% untuk biaya pencegahan virus Corona.,1,
232,Humas PTN,@univ_indonesia,Universitas Indonesia terapkan e-office untuk efisiensi biaya kertas.,0,
233,WhatsApp,Grup Guru,Potongan pajak sertifikasi guru naik jadi 25% mulai akhir Februari.,1,
234,Kompasiana,Opini,Kebijakan Kampus Merdeka: Langkah cerdas Nadiem pangkas birokrasi kampus.,0,
235,Instagram,@scholarship_id,Dana KIP Kuliah dialihkan untuk pembangunan rumah sakit darurat di Wuhan.,1,
236,BPS,Laporan 2020,Inflasi di sektor pendidikan tetap rendah berkat subsidi BOS yang tepat waktu.,0,
237,X (Twitter),@lapor_mas,Link aktivasi rekening bank guru untuk dapat bonus awal tahun dari kementerian.,1,
238,Kemendikbud,@kemdikbud,Mendikbud: Kurikulum 2020 akan lebih ramping dan efisien bagi siswa.,0,
239,Facebook,Berita Guru,Guru yang tidak pakai aplikasi Dapodik baru tidak akan dibayar gajinya.,1,
240,Antara News,@antaranews,Kemendikbud kaji efisiensi dana tunjangan khusus di perbatasan RI.,0,
241,WhatsApp,Grup WA,"Promo kuota edukasi 100GB dari program Merdeka Belajar, klik di sini.",1,
242,Liputan6,@liputan6dotcom,Nadiem: Kebebasan prodi buka jalur mandiri tetap dalam pengawasan ketat.,0,
243,TikTok,@infosekolah,Daftar sekolah yang akan dimerger paksa karena anggaran tidak turun.,1,
244,Tirto.id,@tirtoid,Analisis: Dampak efisiensi RPP 1 lembar terhadap psikologi kerja guru.,0,
245,X (Twitter),@edunews,Pemerintah batalkan bantuan biaya kuliah bagi mahasiswa prodi Seni.,1,
246,Kemendikbud,@Kemdikbud_RI,Program Organisasi Penggerak (POP) menggunakan dana hibah untuk efisiensi pelatihan guru.,0,
247,WhatsApp,Grup Guru,Form pengisian data rekening untuk pencairan subsidi biaya transportasi guru honorer.,1,
